1,MachuPichu,736036,559657
2, Vegas,559657,559657
3, Año Nuevo,16711808,559657
4, Londres,16174828,559657
5, Egipto,736036,559657
6, Dubai,559657,559657
7, Brasil,16711808,736036
8, Tomorrowland,16174828,736036
9,Campus Party,736036,736036
10, Museo,559657,736036
11,Toronto,16711808,736036
12,Salvatierra,736036,736036
13,Tangamandapio,559657,16174828
14,Cumpleaños,16711808,16174828
15,Banquete Metlife,736036,16174828
16,Banquete Alamos Seguro,559657,16711808
17,Banquete ITESM,16711808,16711808
18,San Francisco,16174828,16711808
19,Roma,736036,16711808
20,Guanajuato,559657,16711808
21,Oaxaca,16711808,16711808
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
32,,,
